wallet_address,contract_address,target_address,contract_method,risk_level
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x708F2Ac1906A24C614a7844cffFC2C0061cb7fA0,__transfer,169
0xe1d48DDaE2b01EF094c1fdb838b8752F4f40CF8b,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xfC695d9b7BED4325E0845b71066B2fbB0eb2D6EF,__transfer,2
0x3AdAb8f367e4e7dfb8a566e8dac03b9E4819777C,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xe1d48DDaE2b01EF094c1fdb838b8752F4f40CF8b,__transfer,16
0xeD7C0117d7d35850d71E2a3f390972406F8D5d46,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x3AdAb8f367e4e7dfb8a566e8dac03b9E4819777C,__transfer,27
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xeD7C0117d7d35850d71E2a3f390972406F8D5d46,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0xF90Af7b7F90E054417763B2e4A2f7b0a352d8494,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xb6C050751D78d4CB5c5791f18AA6a111C806a759,__transfer,185
0x59Bef28c4b5173D6A2EaaA9Fd1Bd497b49c01c40,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xF90Af7b7F90E054417763B2e4A2f7b0a352d8494,__transfer,20
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x59Bef28c4b5173D6A2EaaA9Fd1Bd497b49c01c40,__transfer,1
0x465092bBE4ca9675C1Cf9c7BF2620b2eefC77E25,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x820425d330F777370aCF68E45F884547e98dB2C0,__transfer,188
0x5Cb68CD0D285a907b927a7DB534D89718aDDfD86,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x465092bBE4ca9675C1Cf9c7BF2620b2eefC77E25,__transfer,456
0xC310e760778ECBca4C65B6C559874757A4c4Ece0,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x5Cb68CD0D285a907b927a7DB534D89718aDDfD86,__transfer,27
0x2c2ed4b3876c442fee80BeE76Ce0eE2CA2A512AF,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xC310e760778ECBca4C65B6C559874757A4c4Ece0,__transfer,2124
0xf52393E120F918fFba50410B90A29b1F8250c879,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x2c2ed4b3876c442fee80BeE76Ce0eE2CA2A512AF,__transfer,4947
0x898C4607809945b49d65Ea51580101798931B241,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xf52393E120F918fFba50410B90A29b1F8250c879,__transfer,552
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x898C4607809945b49d65Ea51580101798931B241,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x15cABad1F726Aa1A7D0c49e7FA3CE0D8db9BCd65,__transfer,2503
0x9BD91abdf39A167712B9F6c24d1c9805d5FB9242,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x85E4971F80F1644F78B1C41E5D880cb56D4de80a,__transfer,230
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x9BD91abdf39A167712B9F6c24d1c9805d5FB9242,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0x0000000000000000000000000000000000000000,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0xD77Bf63590209840ddeAA7ee02bECbbcFAbFcd5E,__transfer,370
0xFb4ed131A87e74d3079407Dc4400b36b9144671F,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xA37FbD2264b48ED56Dd7dE8B9B83DB35561700eF,__transfer,66
0xd7a5353918f7d90c048F062aAfAbb15a86132673,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xFb4ed131A87e74d3079407Dc4400b36b9144671F,__transfer,3
0x5CBc5413637343eaaB0784522c95b4686f5e96FD,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xd7a5353918f7d90c048F062aAfAbb15a86132673,__transfer,158
0x357931791284f40765b462aa7AD217ebF82920Cb,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x5CBc5413637343eaaB0784522c95b4686f5e96FD,__transfer,1909
0x5CBc5413637343eaaB0784522c95b4686f5e96FD,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x357931791284f40765b462aa7AD217ebF82920Cb,__transfer,1
0x357931791284f40765b462aa7AD217ebF82920Cb,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x5CBc5413637343eaaB0784522c95b4686f5e96FD,__transfer,1
0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0x357931791284f40765b462aa7AD217ebF82920Cb,__transfer,2
0x0000000000000000000000000000000000000000,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xaBA7161A7fb69c88e16ED9f455CE62B791EE4D03,__transfer,2
0xBB30ec4B3a20A26Bb23c542e6983E94AC37496Ca,0xda60730e1feaa7d8321f62ffb069edd869e57d02,0x1AA1327eA20000D3AAcE7A27123A8dE85940a7ea,__transfer,6
